trip_ID,O,D,trip_start,distance,travel_time,mode,passengers
384,248,230,1537,2947,81.0,1,1
385,248,230,1697,2947,81.0,1,1
386,248,230,1567,2947,81.0,1,1
387,248,230,1644,2947,81.0,1,1
388,248,230,1784,2947,81.0,1,1
389,248,230,1593,2947,81.0,1,1
390,248,230,1760,2947,81.0,1,1
391,248,230,1619,2947,81.0,1,1
392,248,230,1675,2947,81.0,1,1
393,248,230,1646,2947,81.0,1,1
394,248,230,1678,2947,81.0,1,1
395,248,230,1660,2947,81.0,1,1
396,248,230,1680,2947,81.0,1,1
397,248,230,1745,2947,81.0,1,1
398,248,230,1625,2947,81.0,1,1
399,248,230,1739,2947,81.0,1,1
400,248,230,1731,2947,81.0,1,1
401,248,230,1534,2947,81.0,1,1
402,248,230,1680,2947,81.0,1,1
403,248,230,1756,2947,81.0,1,1
404,248,230,1638,2947,81.0,1,1
405,248,230,1565,2947,81.0,1,1
406,248,230,1774,2947,81.0,1,1
407,248,230,1647,2947,81.0,1,1
408,248,230,1507,2947,81.0,1,1
409,248,230,1720,2947,81.0,1,1
410,248,230,1606,2947,81.0,1,1
411,248,230,1763,2947,81.0,2,2
412,248,230,1603,2947,81.0,1,1
413,248,230,1533,2947,81.0,1,1
414,248,230,1740,2947,81.0,1,1
415,248,230,1751,2947,81.0,1,1
416,248,230,1540,2947,81.0,1,1
417,248,230,1567,2947,81.0,1,1
418,248,230,1773,2947,81.0,1,1
419,248,230,1768,2947,81.0,1,1
420,248,230,1513,2947,81.0,1,1
421,248,230,1568,2947,81.0,1,1
422,248,230,1554,2947,81.0,1,1
423,248,230,1630,2947,81.0,1,1
424,248,230,1510,2947,81.0,1,1
425,248,230,1740,2947,81.0,1,1
426,248,230,1628,2947,81.0,1,1
427,248,230,1557,2947,81.0,1,1
428,248,230,1527,2947,81.0,1,1
429,248,230,1516,2947,81.0,1,1
430,248,230,1612,2947,81.0,1,1
431,248,230,1683,2947,81.0,1,1
432,248,230,1727,2947,81.0,1,1
433,248,230,1607,2947,81.0,1,1
434,248,230,1769,2947,81.0,1,1
435,248,251,56,6086,120.0,1,1
436,248,251,17,6086,120.0,1,1
437,248,251,24,6086,120.0,1,1
438,248,251,181,6086,120.0,1,1
439,248,251,42,6086,120.0,1,1
440,248,251,204,6086,120.0,1,1
441,248,251,208,6086,120.0,1,1
442,248,251,109,6086,120.0,1,1
443,248,251,42,6086,120.0,1,1
444,248,251,19,6086,120.0,1,1
445,248,251,135,6086,120.0,1,1
446,248,251,112,6086,120.0,1,1
447,248,251,21,6086,120.0,1,1
448,248,251,249,6086,120.0,1,1
449,248,251,59,6086,120.0,1,1
450,248,251,113,6086,120.0,1,1
451,248,251,75,6086,120.0,1,1
452,248,251,196,6086,120.0,1,1
453,248,251,125,6086,120.0,1,1
454,248,251,193,6086,120.0,1,1
455,248,251,166,6086,120.0,1,1
456,248,251,228,6086,120.0,2,4
457,248,251,46,6086,120.0,1,1
458,248,251,131,6086,120.0,2,3
459,248,251,241,6086,120.0,2,4
460,248,251,64,6086,120.0,1,1
461,248,251,25,6086,120.0,1,1
462,248,251,161,6086,120.0,1,1
463,248,251,130,6086,120.0,1,1
464,248,251,119,6086,120.0,1,1
465,248,251,111,6086,120.0,1,1
466,248,251,109,6086,120.0,2,3
467,248,251,127,6086,120.0,1,1
468,248,251,188,6086,120.0,1,1
469,248,251,74,6086,120.0,2,1
470,248,251,72,6086,120.0,1,1
471,248,251,225,6086,120.0,2,3
472,248,251,289,6086,120.0,1,1
473,248,251,261,6086,120.0,1,1
474,248,251,89,6086,120.0,1,1
475,248,251,175,6086,120.0,1,1
476,248,251,213,6086,120.0,1,1
477,248,251,255,6086,120.0,1,1
478,248,251,245,6086,120.0,1,1
479,248,251,86,6086,120.0,1,1
