NODE,X_COORD,Y_COORD,Z_COORD
342,763478.2,3312410.6,0
343,765294.9,3312307.3,0
344,765616.5,3312291.3,0
345,765408.3,3312322.3,0
346,765086.6,3312338.3,0
347,764973.3,3312323.1,0
348,765729.8,3312306.3,0
349,762467.1,3322620.8,0
350,762786.8,3322659.2,0
351,764930.8,3319952.5,0
352,765235.3,3319980,0
353,765903.9,3319999.9,0
354,763085.3,3322733.9,0
358,762843,3320682.6,0
359,762795.5,3319748.3,0
360,761465,3319142.7,0
361,761231.9,3319051.4,0
362,761242.3,3319025.5,0
363,761542.2,3319142.2,0
364,760543.5,3318857.6,0
365,760227.6,3318797.1,0
366,760308.4,3318785.1,0
367,760625,3318841.8,0
368,760934.7,3318930.1,0
369,760856.2,3318934.5,0
370,761838.1,3319269.2,0
371,762131.4,3319402.1,0
372,762348,3319534.2,0
373,762056,3319398.5,0
374,761760.3,3319271.2,0
375,762358.7,3319505.5,0
376,762793.1,3319714.2,0
377,762784.3,3319521.5,0
378,760833.9,3321522,0
379,760945.7,3321823.8,0
380,760871.7,3321717.5,0
381,760782.7,3321487,0
382,761066.9,3322121.5,0
383,761286.9,3322352.4,0
384,760930.1,3322628.6,0
385,761244.9,3322561.9,0
386,761256.8,3322671.6,0
387,761088.3,3322401.8,0
388,761358.4,3322616.1,0
389,761039,3322652,0
