SIGNAL,TIMING,TYPE,CYCLE,OFFSET,PHASES
PHASE,BARRIER,RING,POSITION,MIN_GREEN,MAX_GREEN,EXTENSION,YELLOW,ALL_RED
1,1,1,1,31,31,0,3,1
2,1,1,2,21,21,0,3,1
1072,1,TIMED,60,25,2
1,1,1,1,31,31,0,3,1
2,1,1,2,21,21,0,3,1
1076,1,TIMED,60,28,2
1,1,1,1,28,28,0,0,0
2,1,1,2,28,28,0,3,1
1082,1,TIMED,60,41,3
1,1,1,1,12,12,0,0,0
2,1,1,2,11,11,0,3,1
3,1,1,3,29,29,0,3,1
1083,1,TIMED,60,3,3
1,1,1,1,15,15,0,0,0
2,1,1,2,15,15,0,3,1
3,1,1,3,22,22,0,3,1
1095,1,TIMED,60,28,3
1,1,1,1,5,5,0,0,0
2,1,1,2,5,5,0,3,1
3,1,1,3,42,42,0,3,1
1096,1,TIMED,60,21,3
1,1,1,1,5,5,0,0,0
2,1,1,2,11,11,0,3,1
3,1,1,3,36,36,0,3,1
1098,1,TIMED,60,47,2
1,1,1,1,15,15,0,3,1
2,1,1,2,37,37,0,3,1
1101,1,TIMED,60,23,4
1,1,1,1,17,17,0,0,0
2,1,1,2,18,18,0,3,1
3,1,1,3,8,8,0,0,0
4,1,1,4,9,9,0,3,1
1102,1,TIMED,60,14,3
1,1,1,1,14,14,0,0,0
2,1,1,2,14,14,0,3,1
3,1,1,3,24,24,0,3,1
1112,1,TIMED,60,54,2
1,1,1,1,38,38,0,3,1
2,1,1,2,14,14,0,3,1
1114,1,TIMED,60,33,3
1,1,1,1,21,21,0,0,0
2,1,1,2,21,21,0,3,1
3,1,1,3,10,10,0,3,1
1118,1,TIMED,60,23,3
1,1,1,1,21,21,0,0,0
2,1,1,2,21,21,0,3,1
3,1,1,3,10,10,0,3,1
1121,1,TIMED,60,41,2
1,1,1,1,17,17,0,3,1
2,1,1,2,35,35,0,3,1
1126,1,TIMED,60,44,2
1,1,1,1,26,26,0,3,1
2,1,1,2,26,26,0,3,1
1132,1,TIMED,60,36,3
1,1,1,1,15,15,0,0,0
2,1,1,2,15,15,0,3,1
3,1,1,3,22,22,0,3,1
1133,1,TIMED,60,8,3
1,1,1,1,15,15,0,0,0
2,1,1,2,15,15,0,3,1
3,1,1,3,22,22,0,3,1
1136,1,TIMED,60,6,2
1,1,1,1,31,31,0,3,1
2,1,1,2,21,21,0,3,1
1146,1,TIMED,60,21,3
1,1,1,1,15,15,0,0,0
2,1,1,2,30,30,0,3,1
3,1,1,3,7,7,0,3,1
1148,1,TIMED,60,25,2
1,1,1,1,24,24,0,3,1
2,1,1,2,28,28,0,3,1
1150,1,TIMED,60,42,2
1,1,1,1,31,31,0,3,1
2,1,1,2,21,21,0,3,1
1151,1,TIMED,60,36,2
1,1,1,1,21,21,0,3,1
2,1,1,2,31,31,0,3,1
1175,1,TIMED,60,33,2
1,1,1,1,21,21,0,3,1
2,1,1,2,31,31,0,3,1
1185,1,TIMED,60,13,3
1,1,1,1,8,8,0,0,0
2,1,1,2,16,16,0,3,1
3,1,1,3,28,28,0,3,1
1189,1,TIMED,60,2,2
1,1,1,1,42,42,0,3,1
2,1,1,2,10,10,0,3,1
1190,1,TIMED,60,13,2
1,1,1,1,40,40,0,3,1
2,1,1,2,12,12,0,3,1
1197,1,TIMED,60,37,2
1,1,1,1,31,31,0,3,1
2,1,1,2,21,21,0,3,1
1205,1,TIMED,60,25,3
