PARKING,LINK,DIR,OFFSET,TYPE,NUM_NEST,NOTES
USE,START,END,SPACE,TIME_IN,TIME_OUT,HOURLY,DAILY
289,317,0,161.0,LOT,0,
290,317,1,161.1,LOT,0,
291,319,0,195.1,LOT,0,
292,319,1,195.2,LOT,0,
293,409,1,91.0,LOT,0,
294,409,0,91.1,LOT,0,
295,325,0,160.9,LOT,0,
296,325,1,161.0,LOT,0,
297,327,0,160.9,LOT,0,
298,327,1,161.0,LOT,0,
299,329,0,201.6,LOT,0,
300,329,1,201.7,LOT,0,
301,330,0,161.0,LOT,0,
302,330,1,161.1,LOT,0,
303,333,0,161.0,LOT,0,
304,333,1,161.1,LOT,0,
305,334,0,161.0,LOT,0,
306,334,1,161.0,LOT,0,
307,337,0,161.0,LOT,0,
308,337,1,161.0,LOT,0,
309,341,0,240.9,LOT,0,
310,341,1,241.0,LOT,0,
311,384,0,160.9,LOT,0,
312,384,1,161.0,LOT,0,
313,386,0,160.9,LOT,0,
314,386,1,161.0,LOT,0,
315,389,0,161.6,LOT,0,
316,389,1,161.7,LOT,0,
317,391,0,160.9,LOT,0,
318,391,1,161.0,LOT,0,
319,392,0,161.0,LOT,0,
320,392,1,161.1,LOT,0,
321,394,0,161.0,LOT,0,
322,394,1,161.0,LOT,0,
323,397,0,161.0,LOT,0,
324,397,1,161.0,LOT,0,
325,416,0,161.0,LOT,0,
326,416,1,161.0,LOT,0,
327,417,0,362.6,LOT,0,
328,417,1,362.6,LOT,0,
329,419,0,160.9,LOT,0,
330,419,1,161.0,LOT,0,
331,434,0,161.0,LOT,0,
332,434,1,161.0,LOT,0,
333,451,0,229.0,LOT,0,
334,451,1,229.1,LOT,0,
335,452,0,181.1,LOT,0,
336,452,1,181.2,LOT,0,
337,453,0,263.8,LOT,0,
338,453,1,791.3,LOT,0,
339,453,0,527.5,LOT,0,
340,453,1,527.6,LOT,0,
341,453,0,791.3,LOT,0,
342,453,1,263.8,LOT,0,
343,458,0,161.0,LOT,0,
344,458,1,161.1,LOT,0,
345,459,0,161.0,LOT,0,
346,459,1,161.0,LOT,0,
347,460,0,161.0,LOT,0,
348,460,1,161.0,LOT,0,
349,464,0,161.0,LOT,0,
350,464,1,161.0,LOT,0,
351,466,0,160.9,LOT,0,
352,466,1,161.0,LOT,0,
353,474,0,159.6,LOT,0,
354,474,1,159.6,LOT,0,
355,475,0,263.7,LOT,0,
356,475,1,791.1,LOT,0,
357,475,0,527.4,LOT,0,
358,475,1,527.4,LOT,0,
359,475,0,791.1,LOT,0,
360,475,1,263.7,LOT,0,
361,476,0,317.1,LOT,0,
362,476,1,951.3,LOT,0,
363,476,0,634.2,LOT,0,
