LINK,DIR,TYPE,LANES,LENGTH,OFFSET
2522,0,LEFT_TURN,1,100.0,0.0
2523,0,LEFT_TURN,1,100.0,0.0
2528,0,LEFT_TURN,1,100.0,0.0
2532,0,LEFT_TURN,1,100.0,0.0
2533,1,LEFT_TURN,1,50.4,0.0
2540,0,RIGHT_MERGE,1,65.0,0.0
2549,0,RIGHT_MERGE,1,287.1,0.0
2559,0,RIGHT_MERGE,1,50.0,0.0
2574,0,RIGHT_MERGE,1,90.0,0.0
2577,0,LEFT_TURN,1,100.0,0.0
2579,0,LEFT_TURN,1,100.0,0.0
2582,0,RIGHT_TURN,1,85.0,0.0
2585,0,LEFT_TURN,1,100.0,0.0
2586,0,LEFT_TURN,1,100.0,0.0
2595,0,LEFT_TURN,1,100.0,0.0
2596,0,LEFT_TURN,1,100.0,0.0
2599,0,LEFT_TURN,1,100.0,0.0
2606,1,LEFT_TURN,1,100.0,0.0
2607,0,LEFT_TURN,1,100.0,0.0
2607,1,LEFT_TURN,1,100.0,0.0
2608,1,LEFT_TURN,1,100.0,0.0
2609,1,LEFT_TURN,1,100.0,0.0
2611,1,LEFT_TURN,1,100.0,0.0
2612,1,LEFT_TURN,1,100.0,0.0
2614,0,LEFT_TURN,1,100.0,0.0
2615,0,LEFT_TURN,1,100.0,0.0
2615,1,LEFT_TURN,1,100.0,0.0
2616,0,LEFT_TURN,1,100.0,0.0
2620,1,LEFT_TURN,1,100.0,0.0
2621,1,LEFT_TURN,1,100.0,0.0
2623,0,LEFT_TURN,1,100.0,0.0
2623,1,LEFT_TURN,1,100.0,0.0
2624,1,LEFT_TURN,1,100.0,0.0
2632,0,LEFT_TURN,1,100.0,0.0
2632,1,LEFT_TURN,1,100.0,0.0
2635,1,LEFT_TURN,1,100.0,0.0
2636,1,LEFT_TURN,1,100.0,0.0
2641,0,LEFT_TURN,1,75.0,0.0
2645,0,RIGHT_MERGE,1,322.0,0.0
2666,0,LEFT_TURN,1,120.0,0.0
2668,1,LEFT_TURN,1,100.0,0.0
2685,0,LEFT_TURN,1,100.0,0.0
2685,1,LEFT_TURN,1,100.0,0.0
2686,1,LEFT_TURN,1,100.0,0.0
2688,1,LEFT_TURN,1,100.0,0.0
2689,0,LEFT_TURN,1,100.0,0.0
2692,0,LEFT_TURN,1,100.0,0.0
2693,1,LEFT_TURN,1,100.0,0.0
2694,1,LEFT_TURN,1,100.0,0.0
2695,1,LEFT_TURN,1,100.0,0.0
2696,0,LEFT_TURN,1,100.0,0.0
2698,0,LEFT_TURN,1,100.0,0.0
2700,0,LEFT_TURN,1,100.0,0.0
2706,0,LEFT_TURN,1,100.0,0.0
2709,0,LEFT_TURN,1,100.0,0.0
2710,0,LEFT_TURN,1,100.0,0.0
2712,1,LEFT_TURN,1,100.0,0.0
2716,1,LEFT_TURN,1,100.0,0.0
2720,0,LEFT_TURN,1,100.0,0.0
2722,0,LEFT_TURN,1,100.0,0.0
2725,0,LEFT_TURN,1,100.0,0.0
2727,0,LEFT_TURN,1,100.0,0.0
